schedule_week,team_home,team_away,predicted_margin
12,CLE,TB,2.3057184122366152
12,TEN,CIN,2.433677577985633
12,SEA,LVR,-2.6105132697864453
12,WAS,ATL,-1.387783610400853
12,CAR,DEN,2.917132044700042
12,SF,NO,-10.102167206279509
12,ARI,LAC,2.2301349067490093
12,PHI,GB,-4.057243513029534
12,IND,PIT,-1.1813126045587865
13,NE,BUF,2.7414850745829447
13,LVR,LAC,-0.852123252793751
13,CIN,KC,1.3048303719176133
13,HOU,CLE,8.054972522800531
13,PHI,TEN,-2.0412361381936948
13,DAL,IND,-11.90093197369381
13,NYG,WAS,1.6217317836259026
13,BAL,DEN,-10.576692342742342
13,DET,JAX,-0.5130339403215497
13,CHI,GB,5.2844087108757725
13,ATL,PIT,0.6214364103422434
13,SF,MIA,-3.432301584789039
13,LAR,SEA,9.374454156215595
13,MIN,NYJ,-3.4658268051526147
13,TB,NO,-3.0508790212622947
14,LAR,LVR,7.3666694629435545
14,BUF,NYJ,-9.021779956280227
14,TEN,JAX,-5.329519009087112
14,SEA,CAR,-4.086545510438316
14,LAC,MIA,2.7598090605404697
14,DET,MIN,-0.8592028188129642
14,DAL,HOU,-16.66614920457716
14,NYG,PHI,8.856687121945617
14,SF,TB,-4.617882351100544
14,PIT,BAL,1.0080899823123883
14,DEN,KC,8.239211427218256
14,CIN,CLE,-5.54889835360418
14,ARI,NE,2.5033499499556418
15,SEA,SF,0.5424622537935234
15,MIN,IND,-4.39259620381682
15,CLE,BAL,1.0112142603330205
15,BUF,MIA,-9.353358162187655
15,DEN,ARI,-1.0563523958960788
15,NYJ,DET,0.40569974727791586
15,JAX,DAL,5.145299167710863
15,HOU,KC,12.196395023800443
15,LVR,NE,-0.5732529818365383
15,LAC,TEN,-3.6977096695419527
15,CHI,PHI,10.057081379912033
15,TB,CIN,0.9541459588500932
15,CAR,PIT,0.2552974851028112
15,NO,ATL,-1.4400651080323037
15,WAS,NYG,-3.197631718844184
15,GB,LAR,-6.676015421049491
16,NYJ,JAX,-0.8033027864243221
16,PIT,LVR,-0.3626553951484463
16,KC,SEA,-9.976493197503226
16,NE,CIN,1.25588722085831
16,BAL,ATL,-4.186730163193032
16,CLE,NO,-1.1678671241071306
16,CHI,BUF,8.769312744333035
16,DAL,PHI,-3.1942829961149015
16,MIN,NYG,-4.740579373139411
16,TEN,HOU,-5.778765640456464
16,CAR,DET,2.3476156303443365
16,SF,WAS,-5.865694404940673
16,LAR,DEN,3.471962567254158
16,ARI,TB,8.489197663340585
16,MIA,GB,-0.6705307614734534
16,IND,LAC,4.241393369541288
17,TEN,DAL,10.455835432620608
17,PHI,NO,-4.9351061835169325
17,KC,DEN,-13.427409961771588
17,NE,MIA,-1.565234560051796
17,BAL,PIT,-0.9355538864034841
17,HOU,JAX,2.9721675756598427
17,LAC,LAR,-4.99611811031308
17,LVR,SF,5.7629151618301035
17,SEA,NYJ,-0.7888256105597918
17,ATL,ARI,-5.287333164867495
17,WAS,CLE,-1.0783928579679054
17,GB,MIN,-2.970218079300303
17,DET,CHI,-4.481198768858342
17,TB,CAR,-0.2519655060801893
17,NYG,IND,-4.4999633623355635
17,LVR,KC,8.470366262786365
17,JAX,TEN,-7.187194254556192
17,MIA,NYJ,-2.9206002653152106
17,PIT,CLE,-0.4200550387412367
17,DEN,LAC,-1.705185134180254
17,IND,HOU,-0.28874900466248726
17,CIN,BAL,-7.951052222669293
17,PHI,NYG,-13.892157115657886
17,BUF,NE,-7.534041685691649
17,WAS,DAL,8.21507547462876
17,CHI,MIN,8.7770214925475
17,NO,CAR,-0.9157232213966875
17,ATL,TB,-2.510176799523153
17,SF,ARI,-16.042979524696474
17,SEA,LAR,-3.7928493012642086
17,GB,DET,-4.5152853406012845
18,JAX,LAC,0.8819261514699243
18,SF,SEA,-10.587854927859885
18,CIN,BAL,-8.681246637118225
18,MIN,NYG,-2.5027985161435917
18,BUF,MIA,-12.66349335817801
18,TB,DAL,3.84642752379874
19,KC,JAX,-9.663131177253304
19,PHI,NYG,-6.526735316489837
19,SF,DAL,-3.2209354544246884
19,BUF,CIN,-5.403396843812426
20,KC,CIN,-1.356754826084692
20,PHI,SF,-2.509431981874469
21,KC,PHI,1.513547641336758
21,PHI,KC,-0.4502785105822546
